PathId,Host,Universe,ChannelStart,Fixture0,Fixture1,DistanceM,DistanceFt
Path23,127.0.0.1,-1,0,27,228,1.684522,5.526646
Path23,127.0.0.1,-1,0,228,261,2.911668,9.552716
Path23,127.0.0.1,-1,0,261,292,3.056646,10.02837
Path23,127.0.0.1,-1,0,292,325,3.219157,10.56154
Path23,127.0.0.1,-1,0,325,359,3.395949,11.14156
Path23,127.0.0.1,-1,0,359,393,3.585574,11.76369
Path24,127.0.0.1,-1,0,26,209,1.921461,6.304006
Path24,127.0.0.1,-1,0,209,240,2.831142,9.288523
Path24,127.0.0.1,-1,0,240,273,2.964397,9.725711
Path24,127.0.0.1,-1,0,273,304,3.116974,10.22629
Path24,127.0.0.1,-1,0,304,338,3.285157,10.77808
Path24,127.0.0.1,-1,0,338,372,3.466997,11.37466
Path24,127.0.0.1,-1,0,372,406,3.66127,12.01204
Path25,127.0.0.1,-1,0,25,191,2.843638,9.329522
Path25,127.0.0.1,-1,0,191,220,2.759662,9.054009
Path25,127.0.0.1,-1,0,220,253,2.880141,9.449283
Path25,127.0.0.1,-1,0,253,284,3.020719,9.910494
Path25,127.0.0.1,-1,0,284,317,3.179562,10.43163
Path25,127.0.0.1,-1,0,317,351,3.353156,11.00117
Path25,127.0.0.1,-1,0,351,385,3.539856,11.6137
Path22,127.0.0.1,-1,0,28,248,2.534865,8.316486
Path22,127.0.0.1,-1,0,248,281,2.998744,9.8384
Path22,127.0.0.1,-1,0,281,312,3.155232,10.35181
Path22,127.0.0.1,-1,0,312,346,3.326773,10.91461
Path22,127.0.0.1,-1,0,346,380,3.511619,11.52106
Path22,127.0.0.1,-1,0,380,414,3.708707,12.16767
Path21,127.0.0.1,-1,0,29,235,3.154206,10.34844
Path21,127.0.0.1,-1,0,235,268,2.943455,9.657004
Path21,127.0.0.1,-1,0,268,299,3.09349,10.14924
Path21,127.0.0.1,-1,0,299,333,3.259537,10.69402
Path21,127.0.0.1,-1,0,333,367,3.439453,11.2843
Path21,127.0.0.1,-1,0,367,401,3.631953,11.91586
Path20,127.0.0.1,-1,0,15,204,2.252699,7.390745
Path20,127.0.0.1,-1,0,204,223,3.003038,9.852488
Path20,127.0.0.1,-1,0,223,256,2.891826,9.487618
Path20,127.0.0.1,-1,0,256,287,3.034079,9.954329
Path20,127.0.0.1,-1,0,287,320,3.194318,10.48005
Path20,127.0.0.1,-1,0,320,354,3.369121,11.05355
Path20,127.0.0.1,-1,0,354,388,3.556919,11.66968
Path19,127.0.0.1,-1,0,16,176,2.183634,7.164154
Path19,127.0.0.1,-1,0,176,194,2.741149,8.993272
Path19,127.0.0.1,-1,0,194,212,2.900774,9.516976
Path19,127.0.0.1,-1,0,212,243,2.842052,9.324318
Path19,127.0.0.1,-1,0,243,276,2.977159,9.767583
Path19,127.0.0.1,-1,0,276,307,3.131217,10.27302
Path19,127.0.0.1,-1,0,307,341,3.300683,10.82901
Path19,127.0.0.1,-1,0,341,375,3.48365,11.4293
Path19,127.0.0.1,-1,0,375,409,3.678984,12.07016
Path18,127.0.0.1,-1,0,17,150,2.619481,8.594099
Path18,127.0.0.1,-1,0,150,166,2.498679,8.197767
Path18,127.0.0.1,-1,0,166,183,2.645752,8.68029
Path18,127.0.0.1,-1,0,183,200,2.801215,9.190338
Path18,127.0.0.1,-1,0,200,231,2.796155,9.173736
Path18,127.0.0.1,-1,0,231,264,2.922932,9.589672
Path18,127.0.0.1,-1,0,264,295,3.070357,10.07335
Path18,127.0.0.1,-1,0,295,328,3.234209,10.61092
Path18,127.0.0.1,-1,0,328,362,3.412183,11.19483
Path18,127.0.0.1,-1,0,362,396,3.602887,11.8205
Path17,127.0.0.1,-1,0,18,107,3.319353,10.89027
Path17,127.0.0.1,-1,0,107,124,2.188719,7.180835
Path17,127.0.0.1,-1,0,124,140,2.288195,7.507203
Path17,127.0.0.1,-1,0,140,156,2.413255,7.917502
Path17,127.0.0.1,-1,0,156,172,2.553541,8.377761
Path17,127.0.0.1,-1,0,172,189,2.704116,8.871771
Path17,127.0.0.1,-1,0,189,218,2.75348,9.033727
Path17,127.0.0.1,-1,0,218,251,2.872445,9.424033
Path17,127.0.0.1,-1,0,251,315,6.170568,20.24465
Path17,127.0.0.1,-1,0,315,349,3.342569,10.96643
Path17,127.0.0.1,-1,0,349,383,3.528528,11.57654
Path16,127.0.0.1,-1,0,19,89,3.025678,9.926764
Path16,127.0.0.1,-1,0,89,76,2.149425,7.051919
Path16,127.0.0.1,-1,0,76,97,2.145969,7.040581
Path16,127.0.0.1,-1,0,97,114,2.148085,7.047523
Path16,127.0.0.1,-1,0,114,130,2.222852,7.292821
Path16,127.0.0.1,-1,0,130,146,2.333316,7.655237
Path16,127.0.0.1,-1,0,146,162,2.465231,8.088027
Path16,127.0.0.1,-1,0,162,179,2.609876,8.562587
Path16,127.0.0.1,-1,0,179,207,2.716274,8.911661
Path16,127.0.0.1,-1,0,207,238,2.823967,9.264984
Path16,127.0.0.1,-1,0,238,271,2.955971,9.698066
Path16,127.0.0.1,-1,0,271,302,3.107539,10.19534
Path16,127.0.0.1,-1,0,302,336,3.274877,10.74435
Path16,127.0.0.1,-1,0,336,370,3.455945,11.3384
Path16,127.0.0.1,-1,0,370,404,3.649513,11.97347
Path26,127.0.0.1,-1,0,24,147,2.495232,8.186457
Path26,127.0.0.1,-1,0,147,173,2.637089,8.651868
Path26,127.0.0.1,-1,0,173,201,2.700625,8.86032
Path26,127.0.0.1,-1,0,201,232,2.802973,9.196106
Path26,127.0.0.1,-1,0,232,297,5.99924,19.68255
Path26,127.0.0.1,-1,0,297,330,3.244304,10.64404
Path26,127.0.0.1,-1,0,330,364,3.423057,11.2305
Path26,127.0.0.1,-1,0,364,398,3.614482,11.85854
Path27,127.0.0.1,-1,0,23,121,1.67545,5.496883
Path27,127.0.0.1,-1,0,121,131,2.859248,9.380733
Path27,127.0.0.1,-1,0,131,157,2.626928,8.618529
Path27,127.0.0.1,-1,0,157,184,2.655696,8.712913
Path27,127.0.0.1,-1,0,184,213,2.735578,8.974993
Path27,127.0.0.1,-1,0,213,245,2.849819,9.3498
Path27,127.0.0.1,-1,0,245,278,2.985747,9.795759
Path27,127.0.0.1,-1,0,278,309,3.140783,10.30441
Path27,127.0.0.1,-1,0,309,343,3.311081,10.86313
Path27,127.0.0.1,-1,0,343,377,3.494811,11.46591
Path27,127.0.0.1,-1,0,377,411,3.69084,12.10905
Path28,127.0.0.1,-1,0,22,94,2.392696,7.850051
Path28,127.0.0.1,-1,0,94,104,2.384859,7.824342
Path28,127.0.0.1,-1,0,104,115,2.564701,8.414373
Path28,127.0.0.1,-1,0,115,141,2.650478,8.695794
Path28,127.0.0.1,-1,0,141,167,2.629934,8.628392
Path28,127.0.0.1,-1,0,167,195,2.681594,8.797879
Path28,127.0.0.1,-1,0,195,225,2.77556,9.106167
Path28,127.0.0.1,-1,0,225,258,2.899709,9.51348
Path28,127.0.0.1,-1,0,258,289,3.04306,9.983793
Path28,127.0.0.1,-1,0,289,322,3.204216,10.51252
Path28,127.0.0.1,-1,0,322,356,3.379819,11.08864
Path28,127.0.0.1,-1,0,356,390,3.568351,11.70719
Path29,127.0.0.1,-1,0,21,81,2.416813,7.929177
Path29,127.0.0.1,-1,0,81,60,2.252014,7.388497
Path29,127.0.0.1,-1,0,60,73,1.984065,6.509401
Path29,127.0.0.1,-1,0,73,86,2.113441,6.933862
Path29,127.0.0.1,-1,0,86,98,2.277278,7.471386
Path29,127.0.0.1,-1,0,98,125,2.727659,8.949014
Path29,127.0.0.1,-1,0,125,151,2.631038,8.632016
Path29,127.0.0.1,-1,0,151,178,2.643292,8.672217
Path29,127.0.0.1,-1,0,178,206,2.713586,8.902842
Path29,127.0.0.1,-1,0,206,237,2.820418,9.253341
Path29,127.0.0.1,-1,0,237,270,2.951781,9.684319
Path29,127.0.0.1,-1,0,270,301,3.102842,10.17993
Path29,127.0.0.1,-1,0,301,335,3.269752,10.72753
Path29,127.0.0.1,-1,0,335,369,3.45044,11.32034
Path29,127.0.0.1,-1,0,369,403,3.643647,11.95422
Path30,127.0.0.1,-1,0,20,68,3.771034,12.37216
Path30,127.0.0.1,-1,0,68,47,2.508299,8.229327
Path30,127.0.0.1,-1,0,47,52,2.896813,9.503981
Path30,127.0.0.1,-1,0,52,65,1.946384,6.385774
Path30,127.0.0.1,-1,0,65,78,2.027246,6.651068
Path30,127.0.0.1,-1,0,78,91,2.1741,7.132873
Path30,127.0.0.1,-1,0,91,109,2.137551,7.012963
Path30,127.0.0.1,-1,0,109,135,2.672042,8.766541
Path30,127.0.0.1,-1,0,135,161,2.626614,8.617498
Path30,127.0.0.1,-1,0,161,188,2.664867,8.743001
Path30,127.0.0.1,-1,0,188,217,2.750429,9.023716
Path30,127.0.0.1,-1,0,217,250,2.868625,9.411499
Path30,127.0.0.1,-1,0,250,282,3.007491,9.867095
Path30,127.0.0.1,-1,0,282,314,3.164925,10.38361
Path30,127.0.0.1,-1,0,314,348,3.337293,10.94912
Path30,127.0.0.1,-1,0,348,382,3.522884,11.55802
Path15,127.0.0.1,-1,0,5,244,3.523563,11.56025
Path15,127.0.0.1,-1,0,244,277,2.981443,9.781636
Path15,127.0.0.1,-1,0,277,308,3.135994,10.2887
Path15,127.0.0.1,-1,0,308,342,3.305875,10.84605
Path15,127.0.0.1,-1,0,342,376,3.489225,11.44759
Path15,127.0.0.1,-1,0,376,410,3.684907,12.08959
Path14,127.0.0.1,-1,0,6,265,4.160312,13.64932
Path14,127.0.0.1,-1,0,265,296,3.074957,10.08844
Path14,127.0.0.1,-1,0,296,329,3.23925,10.62746
Path14,127.0.0.1,-1,0,329,363,3.417615,11.21265
Path14,127.0.0.1,-1,0,363,397,3.608676,11.83949
Path13,127.0.0.1,-1,0,7,219,2.58886,8.493634
Path13,127.0.0.1,-1,0,219,252,2.876282,9.436621
Path13,127.0.0.1,-1,0,252,283,3.016291,9.895969
Path13,127.0.0.1,-1,0,283,316,3.174672,10.41559
Path13,127.0.0.1,-1,0,316,350,3.347856,10.98378
Path13,127.0.0.1,-1,0,350,384,3.534189,11.59511
Path12,127.0.0.1,-1,0,8,190,2.132987,6.997987
Path12,127.0.0.1,-1,0,190,208,2.869897,9.415674
Path12,127.0.0.1,-1,0,208,239,2.827543,9.276717
Path12,127.0.0.1,-1,0,239,272,2.960177,9.711866
Path12,127.0.0.1,-1,0,272,303,3.112248,10.21079
Path12,127.0.0.1,-1,0,303,337,3.280015,10.7612
Path12,127.0.0.1,-1,0,337,371,3.461465,11.35651
Path12,127.0.0.1,-1,0,371,405,3.65539,11.99275
Path11,127.0.0.1,-1,0,9,163,2.355015,7.726428
Path11,127.0.0.1,-1,0,163,180,2.617011,8.585993
Path11,127.0.0.1,-1,0,180,197,2.771062,9.09141
Path11,127.0.0.1,-1,0,197,227,2.782088,9.127584
Path11,127.0.0.1,-1,0,227,260,2.907666,9.539587
Path11,127.0.0.1,-1,0,260,291,3.0521,10.01345
Path11,127.0.0.1,-1,0,291,324,3.214164,10.54516
Path11,127.0.0.1,-1,0,324,358,3.390563,11.1239
Path11,127.0.0.1,-1,0,358,392,3.579822,11.74482
Path10,127.0.0.1,-1,0,10,137,2.973805,9.756577
Path10,127.0.0.1,-1,0,137,153,2.388062,7.834851
Path10,127.0.0.1,-1,0,153,169,2.525914,8.287119
Path10,127.0.0.1,-1,0,169,186,2.674792,8.775564
Path10,127.0.0.1,-1,0,186,215,2.741436,8.994214
Path10,127.0.0.1,-1,0,215,247,2.857283,9.374287
Path10,127.0.0.1,-1,0,247,280,2.994398,9.824142
Path10,127.0.0.1,-1,0,280,311,3.1504,10.33596
Path10,127.0.0.1,-1,0,311,345,3.321532,10.89741
Path10,127.0.0.1,-1,0,345,379,3.506008,11.50265
Path10,127.0.0.1,-1,0,379,413,3.702742,12.1481
Path1,127.0.0.1,-1,0,4,224,3.693383,12.1174
Path1,127.0.0.1,-1,0,224,257,2.895761,9.500527
Path1,127.0.0.1,-1,0,257,288,3.038559,9.969025
Path1,127.0.0.1,-1,0,288,321,3.199263,10.49627
Path1,127.0.0.1,-1,0,321,355,3.374463,11.07107
Path1,127.0.0.1,-1,0,355,389,3.562632,11.68843
Path2,127.0.0.1,-1,0,3,177,2.526354,8.288563
Path2,127.0.0.1,-1,0,177,205,2.710929,8.894125
Path2,127.0.0.1,-1,0,205,236,2.816886,9.241752
Path2,127.0.0.1,-1,0,236,269,2.947609,9.670634
Path2,127.0.0.1,-1,0,269,300,3.09816,10.16457
Path2,127.0.0.1,-1,0,300,334,3.264638,10.71075
Path2,127.0.0.1,-1,0,334,368,3.444939,11.30229
Path2,127.0.0.1,-1,0,368,402,3.6378,11.93504
Path3,127.0.0.1,-1,0,2,160,3.469296,11.38221
Path3,127.0.0.1,-1,0,160,187,2.662951,8.736716
Path3,127.0.0.1,-1,0,187,216,2.747405,9.013795
Path3,127.0.0.1,-1,0,216,249,2.864824,9.399028
Path3,127.0.0.1,-1,0,249,313,6.152042,20.18387
Path3,127.0.0.1,-1,0,313,347,3.332028,10.93185
Path3,127.0.0.1,-1,0,347,381,3.517248,11.53953
Path3,127.0.0.1,-1,0,381,415,3.714682,12.18728
Path4,127.0.0.1,-1,0,1,134,1.880135,6.168423
Path4,127.0.0.1,-1,0,134,118,2.251753,7.387642
Path4,127.0.0.1,-1,0,118,144,2.642627,8.670035
Path4,127.0.0.1,-1,0,144,170,2.633062,8.638656
Path4,127.0.0.1,-1,0,170,198,2.690836,8.828203
Path4,127.0.0.1,-1,0,198,229,2.788713,9.14932
Path4,127.0.0.1,-1,0,229,262,2.915691,9.565916
Path4,127.0.0.1,-1,0,262,293,3.061204,10.04332
Path4,127.0.0.1,-1,0,293,326,3.224161,10.57796
Path4,127.0.0.1,-1,0,326,360,3.401351,11.15929
Path4,127.0.0.1,-1,0,360,394,3.591334,11.78259
Path5,127.0.0.1,-1,0,0,108,1.863994,6.115467
Path5,127.0.0.1,-1,0,108,90,2.136429,7.009281
Path5,127.0.0.1,-1,0,90,101,2.33059,7.646292
Path5,127.0.0.1,-1,0,101,128,2.707313,8.882259
Path5,127.0.0.1,-1,0,128,154,2.628373,8.623272
Path5,127.0.0.1,-1,0,154,181,2.649131,8.691375
Path5,127.0.0.1,-1,0,181,210,2.724505,8.938666
Path5,127.0.0.1,-1,0,210,241,2.834758,9.300388
Path5,127.0.0.1,-1,0,241,274,2.968636,9.73962
Path5,127.0.0.1,-1,0,274,305,3.121704,10.24181
Path5,127.0.0.1,-1,0,305,339,3.290329,10.79504
Path5,127.0.0.1,-1,0,339,373,3.472536,11.39284
Path5,127.0.0.1,-1,0,373,407,3.667168,12.03139
Path6,127.0.0.1,-1,0,14,77,3.27598,10.74797
Path6,127.0.0.1,-1,0,77,69,2.749207,9.019708
Path6,127.0.0.1,-1,0,69,82,2.068331,6.785863
Path6,127.0.0.1,-1,0,82,112,2.856409,9.371419
Path6,127.0.0.1,-1,0,112,138,2.660223,8.727765
Path6,127.0.0.1,-1,0,138,164,2.62776,8.621262
Path6,127.0.0.1,-1,0,164,192,2.672926,8.769442
Path6,127.0.0.1,-1,0,192,221,2.762793,9.064281
Path6,127.0.0.1,-1,0,221,254,2.884016,9.461995
Path6,127.0.0.1,-1,0,254,285,3.025157,9.925057
Path6,127.0.0.1,-1,0,285,318,3.184466,10.44772
Path6,127.0.0.1,-1,0,318,352,3.35847,11.0186
Path6,127.0.0.1,-1,0,352,386,3.545533,11.63233
Path7,127.0.0.1,-1,0,13,85,2.111452,6.927335
Path7,127.0.0.1,-1,0,85,64,2.211249,7.254755
Path7,127.0.0.1,-1,0,64,56,2.350997,7.713244
Path7,127.0.0.1,-1,0,56,48,2.105118,6.906556
Path7,127.0.0.1,-1,0,48,61,1.952267,6.405074
Path7,127.0.0.1,-1,0,61,95,3.179581,10.4317
Path7,127.0.0.1,-1,0,95,122,2.751235,9.026361
Path7,127.0.0.1,-1,0,122,148,2.635219,8.64573
Path7,127.0.0.1,-1,0,148,174,2.638226,8.655598
Path7,127.0.0.1,-1,0,174,202,2.703152,8.868609
Path7,127.0.0.1,-1,0,202,233,2.80642,9.207416
Path7,127.0.0.1,-1,0,233,266,2.935193,9.629897
Path7,127.0.0.1,-1,0,266,298,3.084195,10.11875
Path7,127.0.0.1,-1,0,298,331,3.249374,10.66068
Path7,127.0.0.1,-1,0,331,365,3.42851,11.24839
Path7,127.0.0.1,-1,0,365,399,3.620295,11.87761
Path9,127.0.0.1,-1,0,11,111,3.997896,13.11646
Path9,127.0.0.1,-1,0,111,127,2.205008,7.234278
Path9,127.0.0.1,-1,0,127,143,2.310433,7.580161
Path9,127.0.0.1,-1,0,143,159,2.438993,8.001947
Path9,127.0.0.1,-1,0,159,175,2.581536,8.469606
Path9,127.0.0.1,-1,0,175,203,2.705712,8.877008
Path9,127.0.0.1,-1,0,203,234,2.809885,9.218782
Path9,127.0.0.1,-1,0,234,267,2.939319,9.643435
Path9,127.0.0.1,-1,0,267,332,6.332391,20.77556
Path9,127.0.0.1,-1,0,332,366,3.43398,11.26634
Path9,127.0.0.1,-1,0,366,400,3.626118,11.89671
