BaseId,DistFromCtr,Theta
270,999.1332,67.70281
271,1001.82,69.80496
272,1004.509,152.6873
273,1007.199,15.17949
274,1009.891,122.3283
275,1012.584,100.1639
276,1015.279,37.34383
277,1017.976,174.8516
278,1020.674,47.64063
279,1026.075,132.6251
280,1028.778,4.882707
281,1031.483,142.3905
282,1034.189,80.10177
283,1036.897,57.406
284,1039.607,165.0862
285,1042.318,27.57845
286,1045.031,109.9293
287,1047.746,112.5629
288,1050.463,24.94487
289,1053.181,162.4527
290,1055.901,60.03959
291,1058.623,77.46819
292,1061.346,145.024
293,1064.072,7.516273
294,1066.799,129.9915
295,1072.258,45.00705
296,1077.725,39.9774
297,1080.461,97.53037
298,1083.199,124.9619
299,1085.939,12.54593
300,1088.681,150.0537
301,1091.425,72.43855
302,1094.17,65.06924
303,1096.918,157.423
304,1099.667,19.91523
305,1102.418,117.5926
306,1105.172,104.8997
307,1107.927,32.60809
308,1110.684,170.1159
309,1113.443,52.37637
310,1116.204,85.13142
311,1118.967,137.3608
312,1124.499,137.6547
313,1127.268,84.83749
314,1130.039,52.67029
315,1132.812,169.8219
316,1135.587,32.31419
317,1138.364,105.1936
318,1141.143,117.2986
319,1143.924,20.20914
320,1146.708,157.7169
321,1149.493,64.77531
322,1152.281,72.73245
323,1155.07,149.7598
324,1157.862,12.252
325,1160.656,125.2558
326,1163.452,97.23645
327,1166.25,40.27132
328,1169.05,177.7791
329,1171.852,44.71313
330,1174.657,92.79464
331,1177.464,129.6976
332,1180.272,7.810173
333,1183.083,145.318
334,1185.897,77.17427
335,1188.712,60.33349
336,1191.53,162.1587
337,1194.35,24.65095
338,1197.172,112.8568
339,1199.996,109.6354
340,1202.823,27.87237
341,1205.651,165.3801
342,1208.483,57.11209
343,1211.316,80.39568
344,1214.152,142.0965
345,1216.99,4.588768
346,1219.83,132.919
347,1222.672,89.57323
348,1225.517,47.93454
349,1228.365,174.5577
350,1231.214,37.04991
351,1234.066,100.4579
352,1236.92,122.0344
353,1239.777,15.47341
354,1242.635,152.9812
355,1245.497,69.51105
356,1248.36,67.99673
357,1251.226,154.4955
358,1254.095,16.98772
359,1256.966,120.52
360,1259.839,101.9722
361,1262.714,35.53558
362,1265.593,173.0434
363,1268.473,49.44887
364,1271.356,88.05891
365,1274.242,134.4333
366,1277.129,3.074407
367,1280.02,140.5822
368,1282.912,81.91
369,1285.808,55.59777
370,1288.705,166.8945
371,1291.606,29.38668
372,1294.509,108.1211
373,1297.414,114.3711
374,1300.321,23.13663
375,1303.232,160.6444
376,1306.145,61.84783
377,1309.06,75.65995
378,1311.978,146.8323
379,1314.899,9.324513
380,1317.821,128.1833
381,1320.747,94.30896
382,1323.675,43.19881
383,1326.606,179.2934
384,1329.54,41.78565
385,1332.475,95.72213
386,1335.414,126.7701
387,1338.355,10.73768
388,1341.299,148.2455
389,1344.246,74.24678
390,1347.194,63.26099
391,1350.146,159.2312
392,1353.1,21.72346
393,1356.057,115.7843
394,1359.017,106.7079
395,1361.98,30.79986
396,1364.945,168.3076
397,1367.912,54.18459
398,1370.883,83.32667
399,1373.856,139.1691
400,1376.831,1.657766
401,1379.81,135.8465
402,1382.791,86.64224
403,1385.776,50.86204
404,1388.762,171.6267
405,1391.752,34.12242
406,1394.744,103.3889
407,1397.739,119.1069
408,1400.736,18.4044
409,1403.737,155.9087
410,1406.74,66.58006
411,1409.746,70.92422
412,1412.755,151.5645
413,1415.767,14.06025
414,1418.781,123.451
415,1421.798,99.04469
416,1069.528,92.50072
417,1023.374,89.86715
418,1074.991,177.4852
419,1121.732,0.1467098
