BaseId,x,z,DistFromCtr,Theta,ChannelStart,PathId,NearestTheta5,DistFromCenterOnTheta5,DistFromTheta5
0,180.0011,0,180.0011,225,85,20,225,127.28,127.28
1,164.4392,73.21307,180.0012,201,64,20,205,179.9738,3.141453
2,120.4443,133.7669,180.0011,177,43,20,180,120.4443,133.7669
3,55.6234,171.1913,180.0011,153,22,20,150,37.42436,176.0677
4,-18.81525,179.0151,180.0011,129,1,20,125,157.4325,87.26627
5,-90.00054,155.8856,180.0011,105,484,20,110,177.2665,31.25684
6,-145.624,105.802,180.0011,80.99998,274,20,84.99999,92.70739,154.2911
7,-176.0676,37.42434,180.0011,57,253,20,55,70.33202,165.6919
8,-176.0676,-37.42436,180.0011,32.99999,232,20,30,171.1912,55.62337
9,-145.624,-105.802,180.0011,9.000007,211,20,9.999999,161.784,78.9073
10,-90.0005,-155.8856,180.0011,345,190,20,345,46.58761,173.8678
11,-18.81522,-179.0151,180.0011,321,169,20,320,100.6554,149.2277
12,55.62342,-171.1913,180.0011,297,148,20,295,178.6594,21.9366
13,120.4443,-133.7669,180.0011,273,127,20,275,143.7552,108.3274
14,164.4392,-73.21306,180.0011,249,106,20,250,12.55626,179.5627
15,-226.6919,466.6934,518.8371,109.0923,43,7,110,516.0815,53.40216
16,-238.4384,540.8578,591.0837,111.2096,295,6,115,590.9521,12.47787
17,-272.528,607.7628,666.0684,110.848,85,5,115,665.9954,9.857443
18,-325.6241,660.8586,736.726,108.7692,400,4,110,732.374,79.9596
19,-392.5288,694.9483,798.1428,105.5409,253,3,110,787.2905,131.1702
20,-466.6934,706.6946,846.8884,101.5597,127,2,105,803.4038,267.8852
21,-540.8578,694.9483,880.6136,97.10743,1,1,100,778.3094,411.9644
22,-607.7628,660.8586,897.8361,92.39661,169,9,95,711.314,547.8524
23,-660.8586,607.7628,897.8361,87.60339,295,10,90,607.7628,660.8586
24,-694.9483,540.8577,880.6135,82.89257,421,11,84.99999,478.2307,739.4427
25,-706.6946,466.6933,846.8884,78.44033,85,12,79.99999,336.8869,776.9988
26,-694.9483,392.5287,798.1428,74.45914,274,13,75,199.2878,772.8624
27,-660.8586,325.6239,736.726,71.23078,1,14,75,143.4857,722.6181
28,-607.7628,272.5279,666.0684,69.15202,253,15,70,48.22536,664.3202
29,-540.8575,238.4383,591.0835,68.7904,43,16,70,39.07455,589.7905
30,-466.6932,226.6919,518.8369,70.90774,379,17,75,98.17846,509.4632
31,-392.5286,238.4384,459.2729,76.27627,295,8,79.99999,166.6541,427.9696
32,-325.6238,272.5281,424.6204,84.92737,421,20,84.99999,243.1111,348.1371
33,-272.5278,325.6243,424.6205,95.0727,64,19,100,368.0013,211.8434
34,-238.4383,392.5292,459.2733,103.7238,253,18,105,440.8664,128.7197
