BaseId,x,z,DistFromCtr,Theta,ChannelStart,PathId
119,-422.9334,-227.5754,480.2741,118.2842,127,17
120,468.3499,-118.5809,483.1284,104.2081,22,33
121,-78.08989,-482.5404,488.8182,170.8075,148,22
122,385.7573,304.8195,491.6539,51.68475,127,32
123,-493.1702,36.01694,494.4837,85.82302,43,15
124,-7.327076,500.0718,500.1255,0.8395343,43,7
125,-334.26,-375.7883,502.938,138.3472,127,8
126,503.1068,51.59156,505.7451,84.14501,43,34
127,96.4344,-502.1676,511.3432,169.1295,85,23
128,269.5651,437.8003,514.1346,31.6217,127,30
129,-497.1786,-141.4944,516.921,105.8861,85,16
130,-193.2926,-488.3919,525.2511,158.4077,211,21
131,474.921,230.7672,528.0184,64.08458,85,33
132,-508.7211,151.4322,530.7814,73.42319,22,15
133,107.4817,525.4133,536.2942,11.56127,106,18
134,-436.3916,-316.435,539.0443,125.9465,148,17
135,538.2584,-61.76192,541.7902,96.54572,22,34
136,-14.61397,-547.075,547.2701,178.4698,169,22
137,382.2198,395.4906,550.0044,44.0224,169,31
138,-551.7124,-33.60279,552.7348,93.48537,64,15
139,-82.5138,552.0523,558.1848,8.500919,43,6
140,-313.5833,-465.0585,560.9045,146.0087,148,8
141,548.01,131.7321,563.6207,76.48354,64,34
142,232.1889,522.4809,571.7499,23.96023,148,19
143,-526.6177,-229.4998,574.4531,113.5476,106,16
144,-140.2311,-565.415,582.5452,166.0709,232,21
145,487.5768,323.6833,585.2367,56.42136,148,32
146,-580.8253,91.09589,587.9255,81.08642,22,14
147,40.33287,591.9224,593.2949,3.898074,64,7
148,-431.519,-411.0698,595.9757,133.6097,169,17
149,598.5402,11.6755,598.6541,88.88249,43,29
150,64.53027,-600.5463,604.0033,173.8669,190,22
151,359.6639,488.5647,606.6742,36.35917,148,30
152,-597.8444,-117.819,609.3433,101.1486,85,15
153,-171.1191,590.3749,614.6741,16.16414,22,5
154,-273.7952,-553.2995,617.3363,153.6719,169,8
155,578.117,224.001,619.9965,68.82032,106,33
156,176.2173,602.7336,627.9652,16.297,127,18
157,-539.3464,-326.7784,630.6177,121.2108,127,16
158,621.0323,-123.8854,633.2683,101.2815,22,29
159,-69.69471,-634.7496,638.5643,173.7341,253,21
160,482.1471,422.7106,641.2098,48.75813,190,31
161,-643.7004,14.04964,643.8538,88.74964,43,14
162,-42.62725,647.7357,649.1368,3.7652,64,6
163,-407.7583,-508.4736,651.7762,141.273,190,17
164,646.7443,99.89858,654.4141,81.21927,85,34
165,157.3155,-640.6536,659.6857,166.2037,106,23
166,318.0204,580.9736,662.3196,28.69595,169,19
167,-629.4323,-214.4211,664.9522,108.8118,106,15
168,-215.3312,-637.4557,672.8428,161.3351,190,8
169,591.6757,325.8537,675.4707,61.15709,169,32
170,-658.9468,160.0165,678.0975,76.35069,22,13
171,102.583,675.6046,683.3483,8.633789,85,7
172,-534.0485,-430.5229,685.9722,128.874,148,16
173,687.2227,-43.45587,688.5953,93.61823,64,29
174,16.91953,-693.6321,693.8384,178.6026,211,22
175,457.7882,524.8666,696.4589,41.09491,169,30
176,-694.7044,-78.08154,699.0786,96.41286,64,14
177,-139.5555,690.3514,704.3159,11.42841,43,5
178,-364.7723,-605.5544,706.9335,148.9362,211,17
179,680.5278,200.8576,709.5504,73.55605,127,33
180,257.4748,669.6014,717.3976,21.03273,148,18
181,-644.5037,-320.9872,720.0123,116.4751,127,15
182,694.5734,-199.3912,722.6265,106.0172,274,35
183,-138.9015,-714.4769,727.8536,168.9984,274,21
184,587.1442,434.5611,730.4667,53.49387,211,31
185,-729.082,76.45068,733.0793,84.01391,43,13
186,12.5057,738.1975,738.3035,0.9707584,85,6
187,-509.6631,-537.7721,740.9152,136.5372,169,16
188,741.6744,52.4483,743.5266,85.955,106,34
189,117.9115,-739.4065,748.7491,170.9395,127,23
190,413.9559,627.0424,751.3599,33.43168,190,19
191,-731.3317,-183.3734,753.9707,104.0761,85,14
192,-248.3164,717.4338,759.1919,19.09164,22,4
193,-302.5555,-699.1445,761.8023,156.5994,211,8
194,697.7432,312.2205,764.4129,65.89282,190,32
195,-727.8734,241.9203,767.0235,71.61496,22,12
196,178.5661,751.3158,772.2443,13.36949,106,7
197,-641.3364,-434.8424,774.855,124.1383,148,15
198,769.2164,-112.9565,777.4658,98.35396,85,29
199,-45.55465,-781.3607,782.6875,176.6633,232,22
200,563.2649,547.1988,785.2985,45.82889,190,30
201,-787.5717,-23.08403,787.9099,91.67889,64,13
202,-92.45882,787.7256,793.1332,6.694422,64,5
203,-465.4525,-645.418,795.7452,144.2022,232,17
204,781.7416,162.0328,798.3574,78.29002,148,33
205,231.2608,-769.587,803.5831,163.2745,22,24
206,350.4599,726.0375,806.1964,25.7667,169,18
207,-751.277,-299.5934,808.8099,111.7411,106,14
208,758.7853,-287.4957,811.424,110.7512,295,35
209,-221.4755,-786.0478,816.6533,164.2644,295,21
210,696.5,431.3798,819.2684,58.22785,232,31
211,-807.5404,152.8794,821.8842,79.27992,43,12
212,82.21416,823.0211,827.1172,5.704545,106,6
213,-618.5161,-553.0801,829.7347,131.8032,190,16
214,832.2917,-10.05964,832.3525,90.69248,127,34
215,63.13763,-835.2068,837.5899,175.6769,148,23
216,519.2372,660.564,840.2095,38.16917,211,19
217,-831.6594,-136.765,842.8298,99.33862,85,13
