PathId,Host,Universe,ChannelStart,Fixture0,Fixture1,DistanceFt
0,192.168.0.221,1,1,0,8,6.152275
0,192.168.0.221,1,1,8,16,6.627626
0,192.168.0.221,1,1,16,37,7.295056
0,192.168.0.221,1,1,37,58,6.407303
0,192.168.0.221,1,1,58,79,6.214654
0,192.168.0.221,1,1,79,100,6.284748
0,192.168.0.221,1,1,100,121,6.474317
0,192.168.0.221,1,1,121,142,6.720462
1,192.168.0.221,2,190,29,50,6.618514
1,192.168.0.221,2,190,50,71,6.244086
1,192.168.0.221,2,190,71,92,6.239215
1,192.168.0.221,2,190,92,113,6.392713
1,192.168.0.221,2,190,113,134,6.622273
2,192.168.0.221,3,316,5,13,6.387694
2,192.168.0.221,3,316,13,21,7.082832
2,192.168.0.221,3,316,21,42,6.968511
2,192.168.0.221,3,316,42,63,6.323334
2,192.168.0.221,3,316,63,84,6.21485
2,192.168.0.221,3,316,84,105,6.322562
2,192.168.0.221,3,316,105,126,6.529197
2,192.168.0.221,3,316,126,147,6.783855
3,192.168.0.221,4,1,34,55,6.473887
3,192.168.0.221,4,1,55,76,6.220846
3,192.168.0.221,4,1,76,97,6.265757
3,192.168.0.221,4,1,97,118,6.442338
3,192.168.0.221,4,1,118,139,6.683129
4,192.168.0.225,1,127,26,47,6.729894
4,192.168.0.225,1,127,47,68,6.267073
4,192.168.0.225,1,127,68,89,6.227277
4,192.168.0.225,1,127,89,110,6.364851
4,192.168.0.225,1,127,110,131,6.5867
5,192.168.0.225,2,253,18,39,7.151778
5,192.168.0.225,2,253,39,60,6.369974
5,192.168.0.225,2,253,60,81,6.213002
5,192.168.0.225,2,253,81,102,6.299428
5,192.168.0.225,2,253,102,123,6.495924
5,192.168.0.225,2,253,123,144,6.745651
6,192.168.0.225,3,400,2,10,6.207794
6,192.168.0.225,3,400,10,31,7.861167
6,192.168.0.225,3,400,31,52,6.555071
6,192.168.0.225,3,400,52,73,6.232684
6,192.168.0.225,3,400,73,94,6.24889
6,192.168.0.225,3,400,94,115,6.412117
6,192.168.0.225,3,400,115,136,6.646396
7,192.168.0.225,4,64,23,44,6.864152
7,192.168.0.225,4,64,44,65,6.297809
7,192.168.0.225,4,64,65,86,6.218776
7,192.168.0.225,4,64,86,107,6.338619
7,192.168.0.225,4,64,107,128,6.551903
7,192.168.0.225,4,64,128,149,6.809569
8,192.168.0.226,1,211,7,15,6.543356
8,192.168.0.226,1,211,15,36,7.374038
8,192.168.0.226,1,211,36,57,6.42801
8,192.168.0.226,1,211,57,78,6.216135
8,192.168.0.226,1,211,78,99,6.278003
8,192.168.0.226,1,211,99,120,6.463692
8,192.168.0.226,1,211,120,141,6.70796
9,192.168.0.226,2,379,28,49,6.653353
9,192.168.0.226,2,379,49,70,6.250938
9,192.168.0.226,2,379,70,91,6.234477
9,192.168.0.226,2,379,91,112,6.383741
9,192.168.0.226,2,379,112,133,6.610326
10,192.168.0.226,3,1,20,41,7.025723
10,192.168.0.226,3,1,41,62,6.337713
10,192.168.0.226,3,1,62,83,6.214109
10,192.168.0.226,3,1,83,104,6.315077
10,192.168.0.226,3,1,104,125,6.516943
10,192.168.0.226,3,1,125,146,6.771069
11,192.168.0.226,4,148,12,33,7.645533
11,192.168.0.226,4,148,33,54,6.499317
11,192.168.0.226,4,148,54,75,6.22414
11,192.168.0.226,4,148,75,96,6.259831
11,192.168.0.226,4,148,96,117,6.432117
11,192.168.0.226,4,148,117,138,6.670816
12,192.168.0.224,1,295,4,25,8.751798
12,192.168.0.224,1,295,25,46,6.771881
12,192.168.0.224,1,295,46,67,6.276433
12,192.168.0.224,1,295,67,88,6.223665
12,192.168.0.224,1,295,88,109,6.35638
12,192.168.0.224,1,295,109,130,6.575011
13,192.168.0.224,2,442,17,38,7.221011
13,192.168.0.224,2,442,38,59,6.388099
13,192.168.0.224,2,442,59,80,6.213742
13,192.168.0.224,2,442,80,101,6.291742
13,192.168.0.224,2,442,101,122,6.485052
13,192.168.0.224,2,442,122,143,6.733033
14,192.168.0.224,3,85,9,30,7.981459
14,192.168.0.224,3,85,30,51,6.58579
14,192.168.0.224,3,85,51,72,6.238019
14,192.168.0.224,3,85,72,93,6.243886
14,192.168.0.224,3,85,93,114,6.402339
14,192.168.0.224,3,85,114,135,6.6343
15,192.168.0.222,1,232,1,22,9.415178
15,192.168.0.222,1,232,22,43,6.914708
15,192.168.0.222,1,232,43,64,6.310046
15,192.168.0.222,1,232,64,85,6.216778
15,192.168.0.222,1,232,85,106,6.330255
15,192.168.0.222,1,232,106,127,6.540498
15,192.168.0.222,1,232,127,148,6.796696
16,192.168.0.222,2,400,14,35,7.458427
16,192.168.0.222,2,400,35,56,6.450184
16,192.168.0.222,2,400,56,77,6.217854
16,192.168.0.222,2,400,77,98,6.271961
16,192.168.0.222,2,400,98,119,6.4532
16,192.168.0.222,2,400,119,140,6.695506
17,192.168.0.222,3,43,6,27,8.404277
17,192.168.0.222,3,43,27,48,6.690625
17,192.168.0.222,3,43,48,69,6.258282
17,192.168.0.222,3,43,69,90,6.2309
17,192.168.0.222,3,43,90,111,6.373966
17,192.168.0.222,3,43,111,132,6.598472
18,192.168.0.222,4,190,19,40,7.086732
18,192.168.0.222,4,190,40,61,6.353374
18,192.168.0.222,4,190,61,82,6.213483
18,192.168.0.222,4,190,82,103,6.306471
18,192.168.0.222,4,190,103,124,6.506899
18,192.168.0.222,4,190,124,145,6.758336
19,192.168.0.223,1,337,3,11,6.258019
19,192.168.0.223,1,337,11,32,7.74948
19,192.168.0.223,1,337,32,53,6.526241
19,192.168.0.223,1,337,53,74,6.227757
19,192.168.0.223,1,337,74,95,6.254207
19,192.168.0.223,1,337,95,116,6.422541
19,192.168.0.223,1,337,116,137,6.658568
20,192.168.0.223,2,1,24,45,6.816546
20,192.168.0.223,2,1,45,66,6.286709
20,192.168.0.223,2,1,66,87,6.22121
20,192.168.0.223,2,1,87,108,6.347165
20,192.168.0.223,2,1,108,129,6.56341
20,192.168.0.223,2,1,129,150,6.822499
