StalkId,PlantId,x,z,ChannelStart,Universe,IPAddress,StemIndex
95,13,198.3846,23.07728,349,3,192.168.0.221,4
96,13,198.2726,30.15618,352,3,192.168.0.221,5
97,13,202.6329,33.30582,355,3,192.168.0.221,6
98,14,-171.9883,119.7198,400,2,192.168.0.222,0
99,14,-170.5867,118.7446,403,2,192.168.0.222,1
100,14,-174.5547,122.3196,406,2,192.168.0.222,2
101,14,-171.8277,124.742,409,2,192.168.0.222,3
102,14,-165.8152,119.7346,412,2,192.168.0.222,4
103,14,-170.5143,114.4392,415,2,192.168.0.222,5
104,14,-175.8571,115.0621,418,2,192.168.0.222,6
105,15,46.97934,-209.0365,232,1,192.168.0.226,0
106,15,46.6046,-207.3708,235,1,192.168.0.226,1
107,15,47.11565,-212.6872,238,1,192.168.0.226,2
108,15,43.46852,-212.6313,241,1,192.168.0.226,3
109,15,42.41755,-204.8776,244,1,192.168.0.226,4
110,15,49.45956,-204.1472,247,1,192.168.0.226,5
111,15,52.97833,-208.2155,250,1,192.168.0.226,6
112,16,108.846,189.8587,43,1,192.168.0.221,0
113,16,107.9971,188.3773,46,1,192.168.0.221,1
114,16,111.2115,192.6426,49,1,192.168.0.221,2
115,16,113.863,190.1378,52,1,192.168.0.221,3
116,16,109.4004,183.7106,55,1,192.168.0.221,4
117,16,103.7145,187.9288,58,1,192.168.0.221,5
118,16,103.8679,193.3055,61,1,192.168.0.221,6
119,17,-212.7952,-67.84029,442,2,192.168.0.224,0
120,17,-211.1685,-67.32134,445,2,192.168.0.224,1
121,17,-216.4199,-68.29526,448,2,192.168.0.224,2
122,17,-216.6831,-64.6572,451,2,192.168.0.224,3
123,17,-209.051,-62.93236,454,2,192.168.0.224,4
124,17,-207.7077,-69.88354,457,2,192.168.0.224,5
125,17,-211.4528,-73.74453,460,2,192.168.0.224,6
126,18,206.739,-95.56814,253,2,192.168.0.225,0
127,18,205.189,-94.85201,256,2,192.168.0.225,1
128,18,209.7191,-97.68115,259,2,192.168.0.225,2
129,18,207.4557,-100.5415,262,2,192.168.0.225,3
130,18,200.6629,-96.65796,265,2,192.168.0.225,4
131,18,204.3679,-90.62496,268,2,192.168.0.225,5
132,18,209.7374,-90.30775,271,2,192.168.0.225,6
133,19,-89.55756,214.1117,190,4,192.168.0.222,0
134,19,-88.89841,212.5367,193,4,192.168.0.222,1
135,19,-90.32767,217.6828,196,4,192.168.0.222,2
136,19,-86.72655,218.2631,199,4,192.168.0.222,3
137,19,-84.34111,210.811,202,4,192.168.0.222,4
138,19,-91.14824,208.8651,205,4,192.168.0.222,5
139,19,-95.32184,212.2583,208,4,192.168.0.222,6
140,20,-80.02959,-222.3729,1,3,192.168.0.226,0
141,20,-79.45171,-220.7663,4,3,192.168.0.226,1
142,20,-81.87395,-225.5264,7,3,192.168.0.226,2
143,20,-84.92126,-223.5217,10,3,192.168.0.226,3
144,20,-81.64646,-216.4154,13,3,192.168.0.226,4
145,20,-75.31265,-219.5786,16,3,192.168.0.226,5
146,20,-74.52719,-224.8999,19,3,192.168.0.226,6
147,21,212.9169,111.8515,358,3,192.168.0.221,0
148,21,211.4055,111.0572,361,3,192.168.0.221,1
149,21,216.407,112.9309,364,3,192.168.0.221,2
150,21,217.2999,109.3943,367,3,192.168.0.221,3
151,21,210.0849,106.3665,370,3,192.168.0.221,4
152,21,207.5513,112.9774,373,3,192.168.0.221,5
153,21,210.5666,117.4317,376,3,192.168.0.221,6
154,22,-236.5193,62.39297,253,1,192.168.0.222,0
155,22,-234.8683,61.95776,256,1,192.168.0.222,1
156,22,-239.8219,63.95461,259,1,192.168.0.222,2
157,22,-238.0913,67.1655,262,1,192.168.0.222,3
158,22,-230.7259,64.52445,265,1,192.168.0.222,4
159,22,-233.3234,57.93836,268,1,192.168.0.222,5
160,22,-238.5556,56.69073,271,1,192.168.0.222,6
161,23,134.4378,-209.1662,64,4,192.168.0.225,0
162,23,133.5144,-207.73,67,4,192.168.0.225,1
163,23,135.8182,-212.5485,70,4,192.168.0.225,2
164,23,132.3732,-213.7471,73,4,192.168.0.225,3
165,23,128.7262,-206.8245,76,4,192.168.0.225,4
166,23,135.0903,-203.7227,79,4,192.168.0.225,5
167,23,139.7912,-206.337,82,4,192.168.0.225,6
168,24,42.83172,248.9562,1,2,192.168.0.223,0
169,24,42.54252,247.2735,4,2,192.168.0.223,1
170,24,44.09864,252.3827,7,2,192.168.0.223,2
171,24,47.44854,250.9394,10,2,192.168.0.223,3
172,24,45.46154,243.3714,13,2,192.168.0.223,4
173,24,38.67357,245.3831,16,2,192.168.0.223,5
174,24,36.97329,250.4862,19,2,192.168.0.223,6
175,25,-202.84,-157.033,316,1,192.168.0.224,0
176,25,-201.49,-155.9875,319,1,192.168.0.224,1
177,25,-206.0887,-158.7038,322,1,192.168.0.224,2
178,25,-207.5839,-155.3767,325,1,192.168.0.224,3
179,25,-201.0066,-151.1385,328,1,192.168.0.224,4
180,25,-197.3602,-157.207,331,1,192.168.0.224,5
181,25,-199.5536,-162.1184,334,1,192.168.0.224,6
182,26,259.4781,-21.54295,127,1,192.168.0.225,0
183,26,257.7765,-21.40197,130,1,192.168.0.225,1
184,26,263.0022,-22.50546,133,1,192.168.0.225,2
185,26,261.8573,-25.96871,136,1,192.168.0.225,3
186,26,254.1445,-24.65096,139,1,192.168.0.225,4
187,26,255.5551,-17.71311,142,1,192.168.0.225,5
188,26,260.49,-15.57319,145,1,192.168.0.225,6
189,27,-179.3547,193.9443,64,3,192.168.0.222,0
