StalkId,PlantId,x,z,ChannelStart,Universe,IPAddress,StemIndex
95,13,1158.394,-1439.762,307,1,192.168.0.222,4
96,13,1164.387,-1435.992,310,1,192.168.0.222,5
97,13,1169.342,-1438.084,313,1,192.168.0.222,6
98,14,1133.335,-1342.467,316,1,192.168.0.222,0
99,14,1132.234,-1341.162,319,1,192.168.0.222,1
100,14,1135.142,-1345.642,322,1,192.168.0.222,2
101,14,1131.881,-1347.276,325,1,192.168.0.222,3
102,14,1127.369,-1340.884,328,1,192.168.0.222,4
103,14,1133.278,-1336.985,331,1,192.168.0.222,5
104,14,1138.278,-1338.969,334,1,192.168.0.222,6
105,15,1116.349,-1243.456,337,1,192.168.0.222,0
106,15,1115.209,-1242.186,340,1,192.168.0.222,1
107,15,1118.252,-1246.575,343,1,192.168.0.222,2
108,15,1115.042,-1248.308,346,1,192.168.0.222,3
109,15,1110.337,-1242.056,349,1,192.168.0.222,4
110,15,1116.125,-1237.979,352,1,192.168.0.222,5
111,15,1121.183,-1239.81,355,1,192.168.0.222,6
112,16,1084.36,-1148.447,400,1,192.168.0.222,0
113,16,1083.188,-1147.206,403,1,192.168.0.222,1
114,16,1086.34,-1151.517,406,1,192.168.0.222,2
115,16,1083.175,-1153.33,409,1,192.168.0.222,3
116,16,1078.315,-1147.198,412,1,192.168.0.222,4
117,16,1083.999,-1142.977,415,1,192.168.0.222,5
118,16,1089.101,-1144.68,418,1,192.168.0.222,6
119,17,1037.369,-1058.44,421,1,192.168.0.222,0
120,17,1036.174,-1057.221,424,1,192.168.0.222,1
121,17,1039.406,-1061.473,427,1,192.168.0.222,2
122,17,1036.275,-1063.344,430,1,192.168.0.222,3
123,17,1031.301,-1057.304,433,1,192.168.0.222,4
124,17,1036.905,-1052.978,436,1,192.168.0.222,5
125,17,1042.038,-1054.586,439,1,192.168.0.222,6
126,18,988.3775,-968.4327,463,1,192.168.0.222,0
127,18,987.158,-967.2379,466,1,192.168.0.222,1
128,18,990.4753,-971.4236,469,1,192.168.0.222,2
129,18,987.383,-973.3581,472,1,192.168.0.222,3
130,18,982.2883,-967.4195,475,1,192.168.0.222,4
131,18,987.8035,-962.9804,478,1,192.168.0.222,5
132,18,992.9679,-964.4842,481,1,192.168.0.222,6
133,19,881.3945,-796.4169,1,1,192.168.0.222,0
134,19,880.1276,-795.2723,4,1,192.168.0.222,1
135,19,883.6115,-799.3206,7,1,192.168.0.222,2
136,19,880.5998,-801.3784,10,1,192.168.0.222,3
137,19,875.2693,-795.6505,13,1,192.168.0.222,4
138,19,880.6006,-790.9922,16,1,192.168.0.222,5
139,19,885.8216,-792.2861,19,1,192.168.0.222,6
