BaseId,x,z,DistFromCtr,Theta,ChannelStart,PathId,NearestTheta5,DistFromCenterOnTheta5,DistFromTheta5
378,-1219.69,634.7583,1374.977,297.4937,106,Path0,295,1373.675,59.82294
379,-1270.388,525.9996,1374.977,292.4918,85,Path0,290,1373.677,59.77946
380,-1311.411,413.2348,1374.977,287.49,64,Path0,285,1373.679,59.73593
381,-1342.446,297.3228,1374.977,282.4882,43,Path0,280,1373.681,59.69233
382,-1363.256,179.1463,1374.977,277.4864,22,Path0,275,1373.682,59.64875
383,-1373.684,59.60544,1374.977,272.4846,1,Path0,270,1373.684,59.60556
384,-1373.684,-59.6083,1374.977,267.5153,190,Path7,270,1373.684,-59.60818
385,-1363.256,-179.1491,1374.977,262.5135,211,Path7,265,1373.683,-59.6517
386,-1342.445,-297.3256,1374.977,257.5117,232,Path7,260,1373.68,-59.69527
387,-1311.41,-413.2375,1374.977,252.5099,253,Path7,255,1373.679,-59.73889
388,-1270.387,-526.0023,1374.977,247.5081,274,Path7,250,1373.677,-59.78241
389,-1219.689,-634.7608,1374.977,242.5062,295,Path7,245,1373.675,-59.82594
390,-1159.701,-738.6849,1374.977,237.5044,316,Path7,240,1373.673,-59.86936
391,-1090.881,-836.9833,1374.977,232.5026,337,Path7,235,1373.671,-59.91304
392,-1013.752,-928.9069,1374.977,227.5008,358,Path7,230,1373.669,-59.95665
393,-928.903,-1013.756,1374.977,222.499,379,Path7,220,1373.669,59.9515
394,-836.979,-1090.884,1374.977,217.4972,400,Path7,215,1373.671,59.90778
395,-738.6807,-1159.704,1374.977,212.4954,421,Path7,210,1373.673,59.86455
396,-634.7567,-1219.691,1374.977,207.4936,442,Path7,205,1373.675,59.82136
397,-525.9982,-1270.389,1374.977,202.4918,463,Path7,200,1373.677,59.77817
398,-413.2336,-1311.411,1374.977,197.49,484,Path7,195,1373.679,59.73492
399,-297.3219,-1342.446,1374.977,192.4882,1,Path7,190,1373.68,59.69168
400,-179.1458,-1363.256,1374.977,187.4864,22,Path7,185,1373.682,59.64848
401,-59.60521,-1373.684,1374.977,182.4846,43,Path7,180,1373.684,59.60523
402,59.60852,-1373.684,1374.977,177.5153,421,Path21,180,1373.684,-59.60851
403,179.1491,-1363.256,1374.977,172.5135,400,Path21,175,1373.683,-59.65173
404,297.3252,-1342.445,1374.977,167.5117,379,Path21,170,1373.68,-59.69497
405,413.2368,-1311.41,1374.977,162.5099,358,Path21,165,1373.679,-59.73815
406,526.0012,-1270.387,1374.977,157.5081,337,Path21,160,1373.677,-59.78141
407,634.7596,-1219.689,1374.977,152.5063,316,Path21,155,1373.675,-59.82469
408,738.6835,-1159.702,1374.977,147.5045,295,Path21,150,1373.673,-59.86789
409,836.9816,-1090.882,1374.977,142.5027,274,Path21,145,1373.671,-59.91116
410,928.9052,-1013.754,1374.977,137.5009,253,Path21,140,1373.669,-59.95433
411,1013.754,-928.905,1374.977,132.4991,232,Path21,130,1373.669,59.95372
412,1090.882,-836.9814,1374.977,127.4973,211,Path21,125,1373.671,59.91058
413,1159.702,-738.6833,1374.977,122.4955,190,Path21,120,1373.673,59.86718
414,1219.69,-634.7594,1374.977,117.4937,169,Path21,115,1373.675,59.82398
415,1270.388,-526.001,1374.977,112.4919,148,Path21,110,1373.677,59.78081
416,1311.41,-413.2366,1374.977,107.4901,127,Path21,105,1373.679,59.73756
417,1342.445,-297.3249,1374.977,102.4883,106,Path21,100,1373.681,59.69433
418,1363.256,-179.1488,1374.977,97.48648,85,Path21,95,1373.682,59.65108
419,1373.684,-59.60826,1374.977,92.48468,64,Path21,90,1373.684,59.60851
