BaseId,x,z,DistFromCtr,Theta,ChannelStart,PathId,NearestTheta5,DistFromCenterOnTheta5,DistFromTheta5
375,-161.9336,1175.098,1186.203,352.1538,337,Path0,350,1185.365,44.58021
376,-262.8023,1156.725,1186.203,347.2,316,Path0,345,1185.329,45.53505
377,-361.7077,1129.71,1186.203,342.2461,295,Path0,340,1185.292,46.48963
378,-457.9107,1094.256,1186.203,337.2923,274,Path0,335,1185.254,47.44456
379,-550.6927,1050.626,1186.203,332.3384,253,Path0,330,1185.215,48.39939
380,-639.3606,999.148,1186.203,327.3846,232,Path0,325,1185.176,49.35423
381,-723.2517,940.2049,1186.203,322.4308,211,Path0,320,1185.136,50.30915
382,-801.7399,874.2376,1186.203,317.4769,190,Path0,315,1185.095,51.2636
383,-874.2383,801.7394,1186.203,312.5231,169,Path0,315,1185.095,-51.26447
384,-940.2054,723.2511,1186.203,307.5692,148,Path0,310,1185.136,-50.30993
385,-999.1484,639.3599,1186.203,302.6154,127,Path0,305,1185.176,-49.35501
386,-1050.627,550.692,1186.203,297.6616,106,Path0,300,1185.216,-48.40026
387,-1094.256,457.9101,1186.203,292.7077,85,Path0,295,1185.254,-47.44532
388,-1129.711,361.7071,1186.203,287.7538,64,Path0,290,1185.292,-46.49051
389,-1156.725,262.8019,1186.203,282.8,43,Path0,285,1185.329,-45.53558
390,-1175.098,161.9334,1186.203,277.8462,22,Path0,280,1185.365,-44.58059
391,-1184.692,59.85501,1186.203,272.8923,1,Path0,275,1185.401,-43.62566
392,-1184.692,-59.85437,1186.203,267.1077,232,Path4,265,1185.401,43.62621
393,-1175.099,-161.9327,1186.203,262.1539,253,Path4,260,1185.365,44.58119
394,-1156.726,-262.8012,1186.203,257.2,274,Path4,255,1185.329,45.53617
395,-1129.711,-361.7064,1186.203,252.2462,295,Path4,250,1185.292,46.49109
396,-1094.256,-457.9095,1186.203,247.2923,316,Path4,245,1185.254,47.44576
397,-1050.627,-550.6914,1186.203,242.3385,337,Path4,240,1185.216,48.40075
398,-999.1487,-639.3594,1186.203,237.3847,358,Path4,235,1185.176,49.35555
399,-940.2058,-723.2507,1186.203,232.4308,379,Path4,230,1185.136,50.31036
400,-874.2387,-801.739,1186.203,227.477,400,Path4,225,1185.095,51.26498
401,-801.7404,-874.2372,1186.203,222.5231,421,Path4,225,1185.095,-51.26313
402,-723.2524,-940.2045,1186.203,217.5693,442,Path4,220,1185.136,-50.30816
403,-639.361,-999.1477,1186.203,212.6154,463,Path4,215,1185.176,-49.35354
404,-550.6929,-1050.626,1186.203,207.6616,484,Path4,210,1185.216,-48.39901
405,-457.9107,-1094.256,1186.203,202.7077,1,Path5,205,1185.254,-47.44437
406,-361.7074,-1129.711,1186.203,197.7539,22,Path5,200,1185.292,-46.48994
407,-262.802,-1156.725,1186.203,192.8,43,Path5,195,1185.329,-45.53528
408,-161.9331,-1175.099,1186.203,187.8462,64,Path5,190,1185.365,-44.58065
409,-59.85453,-1184.692,1186.203,182.8923,85,Path5,185,1185.401,-43.62594
410,59.85514,-1184.692,1186.203,177.1077,43,Path14,175,1185.401,43.62536
