BaseId,x,z,DistFromCtr,Theta,ChannelStart,Id,NearestTheta5,DistFromCenterOnTheta5,DistFromTheta5
293,747.5403,1008.613,1255.435,36.54425,442,15,35,1254.979,33.83242
294,644.8506,1077.165,1255.435,30.90707,463,15,30,1255.278,19.87454
295,535.9235,1135.299,1255.435,25.2699,484,15,25,1255.421,5.913804
296,421.813,1182.451,1255.435,19.63272,1,15,20,1255.409,-8.047586
297,303.6226,1218.167,1255.435,13.99554,22,15,15,1255.242,-22.00795
298,182.4954,1242.1,1255.435,8.358368,43,15,10,1254.92,-35.9656
299,59.60308,1254.019,1255.435,2.721191,64,15,5,1254.442,-49.91879
300,-59.60304,1254.019,1255.435,357.2788,190,1,355,1254.442,49.91878
301,-182.4953,1242.1,1255.435,351.6416,169,1,350,1254.92,35.96563
302,-303.6225,1218.167,1255.435,346.0045,148,1,345,1255.242,22.00795
303,-421.8129,1182.451,1255.435,340.3673,127,1,340,1255.409,8.04767
304,-535.9235,1135.299,1255.435,334.7301,106,1,335,1255.421,-5.913483
305,-644.8506,1077.165,1255.435,329.0929,85,1,330,1255.278,-19.87427
306,-747.5403,1008.613,1255.435,323.4557,64,1,325,1254.979,-33.83242
307,-842.9998,930.3055,1255.435,317.8186,43,1,320,1254.525,-47.78643
308,-930.3055,842.9998,1255.435,312.1814,22,1,310,1254.525,47.78643
309,-1008.613,747.5403,1255.435,306.5443,1,1,305,1254.979,33.83242
310,-1077.165,644.8506,1255.435,300.9071,484,1,300,1255.278,19.87427
311,-1135.299,535.9235,1255.435,295.2699,463,1,295,1255.421,5.913483
312,-1182.451,421.8129,1255.435,289.6327,442,1,290,1255.409,-8.047785
313,-1218.167,303.6225,1255.435,283.9955,421,1,285,1255.242,-22.00807
314,-1242.1,182.4953,1255.435,278.3584,400,1,280,1254.92,-35.96577
315,-1254.019,59.60302,1255.435,272.7212,379,1,275,1254.442,-49.91895
316,-1254.019,-59.60325,1255.435,267.2788,64,8,265,1254.442,49.91863
317,-1242.1,-182.4955,1255.435,261.6416,85,8,260,1254.92,35.96545
318,-1218.167,-303.6227,1255.435,256.0045,106,8,255,1255.242,22.0078
319,-1182.451,-421.8131,1255.435,250.3673,127,8,250,1255.409,8.047472
320,-1135.299,-535.9236,1255.435,244.7301,148,8,245,1255.421,-5.913867
321,-1077.165,-644.8506,1255.435,239.0929,169,8,240,1255.278,-19.87458
322,-1008.613,-747.5405,1255.435,233.4557,190,8,235,1254.979,-33.83274
323,-930.3054,-843,1255.435,227.8186,211,8,230,1254.525,-47.78674
324,-842.9997,-930.3057,1255.435,222.1814,232,8,220,1254.525,47.78643
325,-747.5405,-1008.613,1255.435,216.5442,253,8,215,1254.979,33.83279
326,-644.8506,-1077.165,1255.435,210.9071,274,8,210,1255.278,19.87459
327,-535.9235,-1135.299,1255.435,205.2699,295,8,205,1255.421,5.913918
328,-421.813,-1182.451,1255.435,199.6327,316,8,200,1255.409,-8.047373
329,-303.6226,-1218.167,1255.435,193.9955,337,8,195,1255.242,-22.00775
330,-182.4954,-1242.1,1255.435,188.3584,358,8,190,1254.92,-35.96548
331,-59.60312,-1254.019,1255.435,182.7212,379,8,185,1254.442,-49.91864
332,59.60315,-1254.019,1255.435,177.2788,253,22,175,1254.442,49.91864
333,182.4955,-1242.1,1255.435,171.6416,232,22,170,1254.92,35.96545
334,303.6226,-1218.167,1255.435,166.0045,211,22,165,1255.242,22.0078
335,421.813,-1182.451,1255.435,160.3673,190,22,160,1255.409,8.047445
336,535.9236,-1135.299,1255.435,154.7301,169,22,155,1255.421,-5.91397
337,644.8506,-1077.165,1255.435,149.0929,148,22,150,1255.278,-19.87459
338,747.5405,-1008.613,1255.435,143.4557,127,22,145,1254.979,-33.83279
339,842.9998,-930.3055,1255.435,137.8186,106,22,140,1254.525,-47.78656
340,930.3056,-842.9997,1255.435,132.1814,85,22,130,1254.525,47.78609
341,1008.613,-747.5402,1255.435,126.5442,64,22,125,1254.979,33.83209
342,1077.165,-644.8503,1255.435,120.907,43,22,120,1255.278,19.87383
343,1135.299,-535.9234,1255.435,115.2699,22,22,115,1255.421,5.913266
344,1182.451,-421.8129,1255.435,109.6327,1,22,110,1255.409,-8.047973
345,1218.167,-303.6224,1255.435,103.9955,484,22,105,1255.242,-22.00836
346,1242.1,-182.4952,1255.435,98.35837,463,22,100,1254.92,-35.96602
347,1254.019,-59.60291,1255.435,92.72119,442,22,95,1254.442,-49.91924
348,1373.684,59.6068,1374.977,87.51538,379,14,90,1373.684,-59.6068
349,1363.256,179.1475,1374.977,82.51358,400,14,85,1373.682,-59.6502
350,1342.446,297.3239,1374.977,77.51178,421,14,80,1373.681,-59.69358
351,1311.411,413.2358,1374.977,72.50995,442,14,75,1373.679,-59.73708
352,1270.388,526.0004,1374.977,67.50815,463,14,70,1373.677,-59.78041
353,1219.69,634.759,1374.977,62.50635,484,14,65,1373.675,-59.82387
354,1159.702,738.683,1374.977,57.50452,1,14,60,1373.673,-59.86713
355,1090.882,836.9813,1374.977,52.50272,22,14,55,1373.671,-59.91051
356,1013.754,928.9052,1374.977,47.50092,43,14,50,1373.669,-59.95406
357,928.905,1013.754,1374.977,42.49908,64,14,40,1373.669,59.95397
358,836.9813,1090.882,1374.977,37.49728,85,14,35,1373.671,59.91047
359,738.683,1159.702,1374.977,32.49548,106,14,30,1373.673,59.86724
360,634.759,1219.69,1374.977,27.49365,127,14,25,1373.675,59.82387
361,526.0004,1270.388,1374.977,22.49185,148,14,20,1373.677,59.78044
362,413.2358,1311.411,1374.977,17.49005,169,14,15,1373.679,59.73708
363,297.324,1342.446,1374.977,12.48825,190,14,10,1373.681,59.69367
364,179.1477,1363.256,1374.977,7.48645,211,14,5,1373.682,59.65026
365,59.60697,1373.684,1374.977,2.484619,232,14,0,1373.684,59.60703
366,-59.6066,1373.684,1374.977,357.5154,358,0,0,1373.684,-59.60654
367,-179.1473,1363.256,1374.977,352.5136,337,0,355,1373.682,-59.64997
368,-297.3236,1342.446,1374.977,347.5118,316,0,350,1373.681,-59.69331
369,-413.2355,1311.411,1374.977,342.51,295,0,345,1373.679,-59.73669
370,-526.0001,1270.388,1374.977,337.5082,274,0,340,1373.677,-59.78008
371,-634.7586,1219.69,1374.977,332.5063,253,0,335,1373.675,-59.82332
372,-738.6829,1159.703,1374.977,327.5045,232,0,330,1373.673,-59.86686
373,-836.9813,1090.882,1374.977,322.5027,211,0,325,1373.671,-59.9105
374,-928.9052,1013.754,1374.977,317.5009,190,0,320,1373.669,-59.9541
375,-1013.754,928.9048,1374.977,312.4991,169,0,310,1373.669,59.95375
376,-1090.882,836.981,1374.977,307.4973,148,0,305,1373.671,59.91022
377,-1159.703,738.6827,1374.977,302.4955,127,0,300,1373.673,59.86663
378,-1219.69,634.7583,1374.977,297.4937,106,0,295,1373.675,59.82294
379,-1270.388,525.9996,1374.977,292.4918,85,0,290,1373.677,59.77946
380,-1311.411,413.2348,1374.977,287.49,64,0,285,1373.679,59.73593
381,-1342.446,297.3228,1374.977,282.4882,43,0,280,1373.681,59.69233
382,-1363.256,179.1463,1374.977,277.4864,22,0,275,1373.682,59.64875
383,-1373.684,59.60544,1374.977,272.4846,1,0,270,1373.684,59.60556
384,-1373.684,-59.6083,1374.977,267.5153,190,7,270,1373.684,-59.60818
385,-1363.256,-179.1491,1374.977,262.5135,211,7,265,1373.683,-59.6517
386,-1342.445,-297.3256,1374.977,257.5117,232,7,260,1373.68,-59.69527
387,-1311.41,-413.2375,1374.977,252.5099,253,7,255,1373.679,-59.73889
388,-1270.387,-526.0023,1374.977,247.5081,274,7,250,1373.677,-59.78241
389,-1219.689,-634.7608,1374.977,242.5062,295,7,245,1373.675,-59.82594
390,-1159.701,-738.6849,1374.977,237.5044,316,7,240,1373.673,-59.86936
391,-1090.881,-836.9833,1374.977,232.5026,337,7,235,1373.671,-59.91304
392,-1013.752,-928.9069,1374.977,227.5008,358,7,230,1373.669,-59.95665
393,-928.903,-1013.756,1374.977,222.499,379,7,220,1373.669,59.9515
394,-836.979,-1090.884,1374.977,217.4972,400,7,215,1373.671,59.90778
395,-738.6807,-1159.704,1374.977,212.4954,421,7,210,1373.673,59.86455
396,-634.7567,-1219.691,1374.977,207.4936,442,7,205,1373.675,59.82136
397,-525.9982,-1270.389,1374.977,202.4918,463,7,200,1373.677,59.77817
398,-413.2336,-1311.411,1374.977,197.49,484,7,195,1373.679,59.73492
399,-297.3219,-1342.446,1374.977,192.4882,1,7,190,1373.68,59.69168
400,-179.1458,-1363.256,1374.977,187.4864,22,7,185,1373.682,59.64848
